,ID,bebidas,carnes,cereales,com_rapida,dulces,frutas,lacteos,leguminosas,miscelaneos,pescado,prod_maiz,sopas,verduras,Edad,Sexo,Entidad
189,55211,57.0,20.0,17.0,0.0,14.0,80.0,0.0,0.0,34.0,0.0,0.0,18.0,36.0,64,2,1
190,56112,323.0,40.0,80.0,0.0,28.0,128.0,136.0,12.0,136.0,0.0,48.0,6.0,54.0,49,2,1
191,56113,114.0,70.0,44.0,12.0,28.0,144.0,51.0,24.0,119.0,0.0,40.0,18.0,0.0,16,2,1
192,56312,266.0,60.0,101.0,0.0,84.0,16.0,51.0,12.0,68.0,4.0,64.0,36.0,108.0,25,2,1
193,56411,19.0,0.0,2.0,0.0,28.0,112.0,17.0,0.0,0.0,0.0,8.0,0.0,36.0,48,1,1
194,56422,38.0,40.0,29.0,4.0,28.0,80.0,51.0,6.0,51.0,0.0,48.0,6.0,72.0,33,2,1
195,56424,228.0,60.0,51.0,0.0,28.0,144.0,119.0,48.0,17.0,0.0,0.0,18.0,126.0,13,2,1
196,56511,76.0,60.0,4.0,0.0,70.0,176.0,34.0,6.0,51.0,4.0,16.0,0.0,864.0,57,2,1
197,57112,171.0,10.0,25.0,0.0,56.0,128.0,17.0,0.0,68.0,0.0,32.0,12.0,72.0,26,2,1
198,57113,76.0,30.0,72.0,12.0,154.0,32.0,17.0,12.0,0.0,0.0,16.0,6.0,18.0,18,1,1
199,57212,171.0,70.0,76.0,0.0,84.0,160.0,68.0,18.0,85.0,8.0,32.0,24.0,252.0,59,2,1
200,57411,266.0,70.0,157.0,4.0,70.0,96.0,0.0,12.0,17.0,20.0,16.0,6.0,270.0,26,1,1
201,57421,323.0,50.0,63.0,20.0,56.0,80.0,34.0,12.0,221.0,4.0,48.0,24.0,234.0,34,1,1
202,57513,133.0,70.0,31.0,4.0,56.0,80.0,68.0,24.0,34.0,0.0,56.0,12.0,90.0,23,2,1
203,57514,171.0,20.0,48.0,4.0,14.0,32.0,34.0,24.0,34.0,0.0,56.0,12.0,162.0,14,1,1
204,58112,57.0,30.0,189.0,4.0,56.0,160.0,51.0,12.0,51.0,24.0,8.0,0.0,378.0,24,1,1
205,58113,76.0,20.0,23.0,0.0,28.0,64.0,0.0,0.0,102.0,0.0,24.0,0.0,90.0,17,2,1
206,58211,38.0,10.0,19.0,0.0,0.0,0.0,0.0,6.0,34.0,0.0,8.0,0.0,36.0,73,2,1
207,58511,95.0,80.0,78.0,12.0,56.0,32.0,17.0,6.0,136.0,0.0,40.0,12.0,144.0,44,2,1
208,58512,19.0,50.0,76.0,20.0,98.0,32.0,51.0,0.0,85.0,0.0,32.0,18.0,108.0,14,2,1
209,60411,171.0,40.0,29.0,8.0,70.0,16.0,34.0,12.0,51.0,8.0,48.0,12.0,252.0,78,2,1
210,61111,76.0,60.0,42.0,8.0,42.0,96.0,0.0,12.0,102.0,0.0,32.0,12.0,288.0,39,2,1
211,61112,57.0,100.0,123.0,16.0,280.0,32.0,17.0,6.0,85.0,0.0,16.0,18.0,36.0,17,2,1
212,61211,114.0,80.0,59.0,16.0,84.0,48.0,34.0,18.0,34.0,28.0,32.0,24.0,216.0,57,1,1
213,61312,114.0,30.0,131.0,0.0,28.0,80.0,34.0,0.0,68.0,12.0,48.0,24.0,162.0,62,2,1
214,61411,266.0,50.0,29.0,12.0,0.0,48.0,85.0,6.0,68.0,0.0,48.0,0.0,162.0,38,1,1
215,61511,133.0,30.0,23.0,0.0,42.0,64.0,34.0,0.0,51.0,0.0,24.0,6.0,72.0,65,2,1
216,62211,361.0,80.0,31.0,24.0,84.0,32.0,102.0,0.0,68.0,20.0,56.0,0.0,558.0,22,1,1
217,62311,95.0,40.0,34.0,0.0,14.0,64.0,17.0,6.0,68.0,0.0,0.0,30.0,288.0,40,2,1
